productsView_link__xrJmL href,z-[-1] src,productsView_totalSkusListView__yiKBR,group-hover,productsView_itemNumber__E_AK5,productsView_priceRange__tnOfl,productsView_savingStory__2gAxy,sr-only,text-xs,sr-only 2,productsView_description__lNG3J,calculateLength__toggle,productsView_options_button__J_wzf,productsView_options_button__J_wzf href,lazyload src
https://www.dickblick.com/products/princeton-velvetouch-synthetic-brushes/,https://images.ctfassets.net/f1fikihmjtrp/6qWu2Q59xxqh80bcaivZ2M/c2ef84277d313f07d315f00f3ab52b93/06461-Group-1-4ww.jpg?q=80&w=190&h=190,50+ Options,Princeton Velvetouch Synthetic Brushes and Sets,Item #: 06426,$4.93 - $41.19,SAVE up to 60% off List!,4.8 out of 5 stars,-659,number of reviews,"Containing a blend of luxurious NextGen synthetic filaments, Princeton Velvetouch Synthetic Brushes are the ultimate mixed media tool for watercolors,...",#NAME?,Choose Options,https://www.dickblick.com/products/princeton-velvetouch-synthetic-brushes/,
https://www.dickblick.com/products/princeton-catalyst-polytip-bristle-brushes/,https://images.ctfassets.net/f1fikihmjtrp/1FYuIUqhvqglouUOyPDFki/6b2fcb3af2f10195af2ab5cec6f56afd/06421-Group-M-4ww.jpg?q=80&w=190&h=190,50+ Options,Princeton Catalyst Polytip Bristle Brushes and Sets,Item #: 06421,$4.79 - $74.79,SAVE 44-67% off List!,4.8 out of 5 stars,-382,number of reviews,Princeton Catalyst Polytip Bristle Brushes are another Princeton breakthrough that advances the science of synthetic hair. By giving each individual h...,#NAME?,Choose Options,https://www.dickblick.com/products/princeton-catalyst-polytip-bristle-brushes/,
https://www.dickblick.com/products/princeton-aspen-series-6500-synthetic-brushes/,https://images.ctfassets.net/f1fikihmjtrp/3BxcL12fBRNncbcFlFmIaK/6c582a67a707ff89606aeee1aa9ac672/09160-GroupAll-1-4ww.jpg?q=80&w=190&h=190,50+ Options,Princeton Aspen Synthetic Brushes and Sets,Item #: 09158,$8.29 - $57.16,SAVE up to 60% off List!,4.9 out of 5 stars,-165,number of reviews,"Princeton Aspen Synthetic Brushes combine performance, practicality, and style. Made from synthetic bristles with the same stiffness as natural bristl...",#NAME?,Choose Options,https://www.dickblick.com/products/princeton-aspen-series-6500-synthetic-brushes/,
https://www.dickblick.com/products/blick-essentials-brown-nylon-value-brush-sets/,https://images.ctfassets.net/f1fikihmjtrp/3XZuZUFBAuojneT134gAoe/519f32164e25fb60a59c76982d25bf5a/06280-1269-1-4ww.jpg?q=80&w=190&h=190,+ 4 Options,Blick Essentials Brown Nylon Value Brush Sets,Item #: 06280,$5.13 - $16.80,SAVE 28% or more off List!,4.5 out of 5 stars,-72,number of reviews,"Available in a range of shapes, sizes, and hair types, these very affordable brush sets are great for students, beginners, and the price-conscious pro...",#NAME?,Choose Options,https://www.dickblick.com/products/blick-essentials-brown-nylon-value-brush-sets/,
https://www.dickblick.com/products/princeton-real-value-series-9100-synthetic-golden-taklon-brush-sets/,https://images.ctfassets.net/f1fikihmjtrp/2DqaAOd8kvsJxxjBVJzPJa/f9413efe7657395d5ef5bac1be76b5bf/06223-9153-M-4ww.jpg?q=80&w=190&h=190,+ 17 Options,Princeton Real Value Series 9100 Synthetic Golden Taklon Brush Sets,Item #: 06223,$5.50 - $16.52,SAVE 44-50% off List!,4.7 out of 5 stars,-48,number of reviews,Create all kinds of projects with Princeton Real Value Series 9100 Synthetic Golden Taklon Brush Sets. These paintbrushes are great for use with any m...,#NAME?,Choose Options,https://www.dickblick.com/products/princeton-real-value-series-9100-synthetic-golden-taklon-brush-sets/,
https://www.dickblick.com/products/langnickel-big-kids-choice-lil-grippers-brush-sets/,,50+ Options,Royal & Langnickel Big Kid's Choice Lil' Grippers Synthetic Brushes and Sets,Item #: 06082,$1.60 - $16.00,SAVE up to 42% off List!,4.7 out of 5 stars,-65,number of reviews,"Royal & Langnickel Big Kids' Choice Lil' Grippers Brushes feature short, thick handles with a soft rubber grip that gives kids better handling and con...",#NAME?,Choose Options,https://www.dickblick.com/products/langnickel-big-kids-choice-lil-grippers-brush-sets/,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 1 1'%3E%3Cpath%20d%3D%22M0%200h1v1H0%22%20fill%3D%22%23F4F4F4%22%2F%3E%3C%2Fsvg%3E"
https://www.dickblick.com/products/robert-simmons-signet-bristle-brushes/,,+ 43 Options,Robert Simmons Signet Bristle Brushes and Sets,Item #: 06645,$7.40 - $112.56,SAVE 20-47% off List!,4.5 out of 5 stars,-205,number of reviews,"Robert Simmons Signet brushes are handmade using high-quality Chungking hog bristle, interlocked and deep-set in extra-long, seamless, nickel-plated f...",#NAME?,Choose Options,https://www.dickblick.com/products/robert-simmons-signet-bristle-brushes/,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 1 1'%3E%3Cpath%20d%3D%22M0%200h1v1H0%22%20fill%3D%22%23F4F4F4%22%2F%3E%3C%2Fsvg%3E"
https://www.dickblick.com/products/utrecht-manglon-synthetic-brushes/,,+ 31 Options,Utrecht Manglon Synthetic Brushes and Sets,Item #: 04627,$10.01 - $51.41,SAVE 40% off List!,4.7 out of 5 stars,-114,number of reviews,"Utrecht Manglon Synthetic Brushes are known for their excellent paint capacity, their silky feel, an extraordinary snap-back, and great shape retentio...",#NAME?,Choose Options,https://www.dickblick.com/products/utrecht-manglon-synthetic-brushes/,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 1 1'%3E%3Cpath%20d%3D%22M0%200h1v1H0%22%20fill%3D%22%23F4F4F4%22%2F%3E%3C%2Fsvg%3E"
https://www.dickblick.com/products/princeton-dakota-series-6300-firm-synthetic-hair-brushes/,,+ 31 Options,Princeton Dakota Series 6300 Firm Synthetic Hair Brushes and Set,Item #: 05358,$9.02 - $57.74,SAVE 44-58% off List!,4.8 out of 5 stars,-131,number of reviews,"Princeton's long handle synthetic bristle brush has excellent stiffness, snap, and hair shape retention for maximum control. Easier to clean than natu...",#NAME?,Choose Options,https://www.dickblick.com/products/princeton-dakota-series-6300-firm-synthetic-hair-brushes/,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 1 1'%3E%3Cpath%20d%3D%22M0%200h1v1H0%22%20fill%3D%22%23F4F4F4%22%2F%3E%3C%2Fsvg%3E"
https://www.dickblick.com/products/blick-essentials-white-nylon-value-brush-sets/,https://images.ctfassets.net/f1fikihmjtrp/TpypBq9xc9eslQL9a9ovT/d369abfd1f060fbb6c118e5beaabc356/06280-1139-3-4ww.jpg?q=80&w=190&h=190,+ 4 Options,Blick Essentials White Nylon Value Brush Sets,Item #: 06280,$5.14 - $16.80,SAVE 28% or more off List!,4.2 out of 5 stars,-63,number of reviews,"Available in a range of shapes, sizes, and hair types, these very affordable brush sets are great for students, beginners, and the price-conscious pro...",#NAME?,Choose Options,https://www.dickblick.com/products/blick-essentials-white-nylon-value-brush-sets/,
https://www.dickblick.com/products/escoda-versatil-brushes/,,100+ Options,Escoda Versatil Synthetic Brushes and Sets,Item #: 09331,$9.06 - $127.59,SAVE up to 49% off List!,4.7 out of 5 stars,-219,number of reviews,The Escoda Versatil Synthetic Brush is the modern-day alternative to natural Kolinsky. Utilizing a carefully selected custom blend of uniquely pattern...,#NAME?,Choose Options,https://www.dickblick.com/products/escoda-versatil-brushes/,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 1 1'%3E%3Cpath%20d%3D%22M0%200h1v1H0%22%20fill%3D%22%23F4F4F4%22%2F%3E%3C%2Fsvg%3E"
