"productsView_link__xrJmL href","z-[-1] src","productsView_totalSkusListView__yiKBR","group-hover","productsView_itemNumber__E_AK5","productsView_priceRange__tnOfl","productsView_savingStory__2gAxy","sr-only","text-xs","sr-only 2","productsView_description__lNG3J","calculateLength__toggle","lazyload src"
"https://www.dickblick.com/products/blick-premier-cotton-canvas/","https://images.ctfassets.net/f1fikihmjtrp/3ckdQzkwOagnuz7lybYwDj/324c7d161c67059b48c3a4365df6bfa4/07140-group3ww-l.jpg?q=80&w=190&h=190","100+ Options","Blick Premier Stretched Cotton Canvas","Item #: 07138","$3.82 - $696.00","SAVE 16-79% off List!","4.7 out of 5 stars","(3553)","number of reviews","For works in oils or acrylics, Blick Premier Stretched Cotton Canvas offers the high quality you expect from Blick — with an affordable price. Availab...","+ READ MORE",""
"https://www.dickblick.com/products/blick-super-value-canvas-packs/","https://images.ctfassets.net/f1fikihmjtrp/cfQrE4gQjCJVNWastAmjb/831ab8e83c5f4fecd7f7a79d44c33692/07526-group-1-4ww.jpg?q=80&w=190&h=190","+ 12 Options","Blick Super Value Canvas Packs","Item #: 07526","$16.99 - $106.07","SAVE 57-70% off List!","4.8 out of 5 stars","(1524)","number of reviews","Blick Super Value Canvas Packs are easy on budgets and come in popular sizes. Pre-primed with three coats of acid-free acrylic gesso, they're ready to...","+ READ MORE",""
"https://www.dickblick.com/products/blick-studio-cotton-canvas/","https://images.ctfassets.net/f1fikihmjtrp/6cnOgILFkP7Lt2FEXcdcmt/13dc66e835afe8f50d4c3f60613b351f/07135-group-2-1-4ww.jpg?q=80&w=190&h=190","50+ Options","Blick Studio Stretched Cotton Canvas","Item #: 07121","$3.06 - $446.00","SAVE 18-78% off List!","4.7 out of 5 stars","(2066)","number of reviews","For quality, dependability and affordability there is no better choice than Blick Studio Canvas. Economically priced, it is the perfect high-quality s...","+ READ MORE",""
"https://www.dickblick.com/products/traditional-profile-stretched-canvas-liquidation/","https://images.ctfassets.net/f1fikihmjtrp/2boPb0X4izdk5039ZeDxHJ/b698fb40a73ef7b9d4b9869d1e5e5dbe/MacPherson_banners-34.jpg?q=80&w=190&h=190","100+ Options","Traditional Profile Stretched Canvas Liquidation","Item #: 66625","$0.65 - $140.59","SAVE up to 85% off List!","4.4 out of 5 stars","","","Once in a lifetime closeout prices! Wide variety of brands and products to choose from. Great value.","",""
"https://www.dickblick.com/products/blick-premier-heavyweight-stretched-cotton-canvas/","https://images.ctfassets.net/f1fikihmjtrp/8zjRtVDNNj7U8z3WRQ4JU/d7d2862ab8638d60526a08d3919624cf/07161-1824-M-4ww.jpg?q=80&w=190&h=190","50+ Options","Blick Premier Heavyweight Stretched Cotton Canvas","Item #: 07160","$16.46 - $652.50","SAVE 50-60% off List!","4.6 out of 5 stars","(292)","number of reviews","Intended for the most demanding professional, Blick Premier Heavyweight Cotton Canvas is made from professional-grade, archival-quality 100% cotton du...","+ READ MORE",""
"https://www.dickblick.com/products/blick-studio-belgian-linen-stretched-canvas/","https://images.ctfassets.net/f1fikihmjtrp/3WSs2NCJ3oWNP76pqdqb4H/8c0b5af56d97e9bfc099e64f0969d66b/07166-2228-M-4ww.jpg?q=80&w=190&h=190","50+ Options","Blick Studio 100% Linen Stretched Canvas","Item #: 07166","$6.35 - $650.00","SAVE 16-71% off List!","4 out of 5 stars","(215)","number of reviews","Economically priced for students and professionals, Blick Studio Linen Canvas is the perfect high-quality substrate for ensuring archival longevity, o...","+ READ MORE",""
"https://www.dickblick.com/products/blick-academic-cotton-canvas-packs/","https://images.ctfassets.net/f1fikihmjtrp/5cMf0NRiQy836Esux41NzS/b7ed76cd7e315fb7274816aba8246731/07167-group-3ww-l.jpg?q=80&w=190&h=190","+ 7 Options","Blick Academic Canvas 2-Packs","Item #: 07167","$3.17 - $13.18","SAVE 57-78% off List!","4.7 out of 5 stars","(448)","number of reviews","An economical option for students, good-quality Blick Academic Cotton Stretched Canvas is back-stapled for easier re-stretching. The 5/8"" thick s...","+ READ MORE",""
"https://www.dickblick.com/products/gallery-profile-stretched-canvas-liquidation/","https://images.ctfassets.net/f1fikihmjtrp/2boPb0X4izdk5039ZeDxHJ/b698fb40a73ef7b9d4b9869d1e5e5dbe/MacPherson_banners-34.jpg?q=80&w=190&h=190","50+ Options","Gallery Profile Stretched Canvas Liquidation","Item #: 66625","$3.48 - $235.59","SAVE up to 77% off List!","4 out of 5 stars","","","Once in a lifetime closeout prices! Wide variety of brands and products to choose from. Great value.","",""
"https://www.dickblick.com/products/fredrix-red-label-cotton-canvas/","https://images.ctfassets.net/f1fikihmjtrp/2zh5IqvL6CuYAMW98HTPTw/3df29f082d3546fa7983787d72761de9/07108-1008-2-3ww-l.jpg?q=80&w=190&h=190","100+ Options","Fredrix Red Label Cotton Canvas","Item #: 07108","$6.65 - $311.80","SAVE up to 53% off List!","4.5 out of 5 stars","(232)","number of reviews","Red Label Artist Series is a professional-quality stretched canvas made from 100% cotton duck with a medium texture. The 100% cotton, 7 oz canvas is t...","+ READ MORE",""
"https://www.dickblick.com/products/hello-artist-canvas-boards-liquidation/","https://images.ctfassets.net/f1fikihmjtrp/2boPb0X4izdk5039ZeDxHJ/b698fb40a73ef7b9d4b9869d1e5e5dbe/MacPherson_banners-34.jpg?q=80&w=190&h=190","+ 32 Options","Hello, Artist! Canvas and Boards Liquidation","Item #: 66625","$0.65 - $16.20","SAVE up to 85% off List!","5 out of 5 stars","","","Once in a lifetime closeout prices! Wide variety of brands and products to choose from. Great value.","",""
