productsView_link__xrJmL href,z-[-1] src,group-hover,productsView_itemNumber__E_AK5,productsView_priceRange__tnOfl,productsView_savingStory__2gAxy,sr-only,w-4 href,text-xs,sr-only 2,productsView_description__lNG3J,calculateLength__toggle,svg')],sr-only 3,AddToCartButton_add_to_cart_button__qGnJz,lazyload src,lazyload src 2
https://www.dickblick.com/products/new-wave-ugo-plein-air-anywhere-pochade/,https://images.ctfassets.net/f1fikihmjtrp/65OEgVc1hCL92Hodh0CES/cd6698b022f201e8a5905b84334bb6fb/49812-1011-M-4ww.jpg?q=80&w=190&h=190,New Wave u.go Plein Air Anywhere Pochade,Item #: 49812,$33.16 - $244.81,SAVE 17% off List!,4.7 out of 5 stars,[object Object],-74,number of reviews,"Whether you're painting on the beach or in the mountains, U.Go Plein Air Anywhere Pochade Box & Accessories are the perfect plein air accompaniment. P...",#NAME?,,,,,
https://www.dickblick.com/products/blick-studio-tabletop-easel/,https://images.ctfassets.net/f1fikihmjtrp/4ApOgYsyH2TReAj38P158l/c6e65d304df011b3b1d551a096ed6fd3/50391-Group-1-4ww.jpg?q=80&w=190&h=190,Blick Studio Tabletop Easel,Item #: 50391,$38.21 ,SAVE 38% off List!,4.7 out of 5 stars,[object Object],-142,number of reviews,"The Blick Studio Tabletop Easel may be small, but it’s designed for serious work. Whether you're an artist who creates small-scale paintings, a studen...",#NAME?,,,,,
https://www.dickblick.com/products/blick-studio-convertible-studio-easel/,https://images.ctfassets.net/f1fikihmjtrp/1NDZUh4RltHORXuZA0qbXz/458493fea5ff645fd979bbdd735b3c24/51753-1010-M-4ww.jpg?q=80&w=190&h=190,Blick Studio Convertible Studio Easel,Item #: 51753,$178.19 ,SAVE 53% off List!,4.6 out of 5 stars,[object Object],-427,number of reviews,"Paint without limits. This convertible studio easel tilts upright for oils and acrylics or flat for watercolor, pours, and other wet techniques. When ...",#NAME?,In stock online,shipping Labels,Add to Cart,,
https://www.dickblick.com/products/blick-studio-medium-duty-h-frame-easel/,https://images.ctfassets.net/f1fikihmjtrp/1f2YwSV9KAeP5xYBEMmI54/0a31561b0993751464fd72875cff059f/51753-1050-M-4ww.jpg?q=80&w=190&h=190,Blick Studio Medium-Duty H-Frame Easel,Item #: 51753,$174.49 ,SAVE 63% off List!,4.4 out of 5 stars,[object Object],-351,number of reviews,"The Blick Studio Medium-Duty H-Frame Easel Finely handcrafted of smooth, sanded beechwood, it tilts back to any angle that suits your medium and paint...",#NAME?,In stock online,,Add to Cart,,
https://www.dickblick.com/products/studio-easels-liquidation/,https://images.ctfassets.net/f1fikihmjtrp/2boPb0X4izdk5039ZeDxHJ/b698fb40a73ef7b9d4b9869d1e5e5dbe/MacPherson_banners-34.jpg?q=80&w=190&h=190,Studio Easels Liquidation,Item #: 66625,$9.99 - $1000.00,SAVE up to 70% off List!,5 out of 5 stars,[object Object],,,Once in a lifetime closeout prices! Wide variety of brands and products to choose from. Great value.,,,,,,
https://www.dickblick.com/products/portable-easels-liquidation/,https://images.ctfassets.net/f1fikihmjtrp/2boPb0X4izdk5039ZeDxHJ/b698fb40a73ef7b9d4b9869d1e5e5dbe/MacPherson_banners-34.jpg?q=80&w=190&h=190,Portable Easels Liquidation,Item #: 66625,$26.00 - $305.00,SAVE 18-65% off List!,,,,,Once in a lifetime closeout prices! Wide variety of brands and products to choose from. Great value.,,,,,,
https://www.dickblick.com/products/blick-studio-aluminum-tripod-travel-easel/,https://images.ctfassets.net/f1fikihmjtrp/457S4Ma1O3eLXpvfX50KsQ/411aa56db9904a314c1d6fbd57ac2267/52856-1001-M-4ww.jpg?q=80&w=190&h=190,Blick Studio Aluminum Tripod Travel Easel,Item #: 52856,$70.83 ,SAVE 21% off List!,4.4 out of 5 stars,[object Object],-145,number of reviews,"Stable, ultra-lightweight, and compact, the Blick Studio Aluminum Tripod Travel Easel is made for plein air painting, but it's also great for small ho...",#NAME?,In stock online,,Add to Cart,,
https://www.dickblick.com/products/blick-french-easel-by-jullian/,https://images.ctfassets.net/f1fikihmjtrp/6KG8qWWt7151cHHE5FDFqr/9c47f287120b09aa22a4c7dd667882ca/51588-1001-15-4ww.jpg?q=80&w=190&h=190,Blick French Easel by Jullian,Item #: 51588,$144.97 ,SAVE 20% off List!,4.3 out of 5 stars,[object Object],-160,number of reviews,"Blending traditional craftsmanship with thoughtful design, the Blick French Easel by Jullian is a fresh take on a plein air classic. Crafted exclusive...",#NAME?,In stock online,,Add to Cart,,
https://www.dickblick.com/products/artpop-3-in-1-floor-easel/,https://images.ctfassets.net/f1fikihmjtrp/3RnZ8acg5lFkPEbtWztieF/b492bb4768af634acd1a8188570874a3/50437-1001-M-4ww.jpg?q=80&w=190&h=190,artPOP! 3-in-1 Floor Easel,Item #: 50437,$124.99 ,SAVE 37% off List!,5 out of 5 stars,[object Object],,,"Featuring a chalkboard, dry-erase board, and a 75-foot paper roll, the artPOP! 3-in-1 Floor Easel gives kids countless opportunities for creative lear...",#NAME?,In stock online,,Add to Cart,,
https://www.dickblick.com/products/meeden-versatile-h-frame-easel/,https://images.ctfassets.net/f1fikihmjtrp/1DfwPLKCAMMLPeAQm2W6WV/d50e6e88b222a47997b5694063dc1229/83540-2400-M-4ww.jpg?q=80&w=190&h=190,Meeden Versatile H-Frame Easel,Item #: 83540,$159.95 ,,5 out of 5 stars,[object Object],,,The Meeden Versatile H-Frame Easel is a sturdy and adaptable easel for artists working in a variety of styles and mediums. Crafted from premium solid ...,#NAME?,In stock online,,Add to Cart,,
