productsView_link__xrJmL href,z-[-1] src,productsView_totalSkusListView__yiKBR,group-hover,productsView_itemNumber__E_AK5,productsView_priceRange__tnOfl,productsView_savingStory__2gAxy,sr-only,w-4 href,text-xs,sr-only 2,productsView_description__lNG3J,calculateLength__toggle,productsView_options_button__J_wzf,productsView_options_button__J_wzf href,lazyload src
https://www.dickblick.com/products/blickrylic-student-acrylics/,https://images.ctfassets.net/f1fikihmjtrp/1MlnxISi03k3jTuH7LEXZ7/126a1107a6aba381af8dddacd4698aa3/00711-Group-9-4ww.jpg?q=80&w=190&h=190,100+ Options,Blickrylic Student Acrylic Paints and Sets,Item #: 00711,$7.37 - $183.40,SAVE 12-45% off List!,4.6 out of 5 stars,[object Object],-2094,number of reviews,"Blickrylic Student Acrylic Paint is a true acrylic paint, priced for the budget-minded. It's highly versatile for an unlimited range of projects on pa...",#NAME?,Choose Options,https://www.dickblick.com/products/blickrylic-student-acrylics/,
https://www.dickblick.com/products/golden-heavy-body-artist-acrylics/,https://images.ctfassets.net/f1fikihmjtrp/7tD9Xhvp3qYVmexpsOIECX/3fdd314d70bbc4ee31de58dc57f36cab/00620-acrylics3ww-l.jpg?q=80&w=190&h=190,100+ Options,Golden Artist Acrylic Heavy Body Paints and Sets,Item #: 00620,$9.09 - $503.92,SAVE 30% off List!,4.9 out of 5 stars,[object Object],-1430,number of reviews,"Golden Heavy Body Artist Acrylics are known for their exceptionally smooth, thick, buttery consistency, and for their excellent permanency and lightfa...",#NAME?,Choose Options,https://www.dickblick.com/products/golden-heavy-body-artist-acrylics/,
https://www.dickblick.com/products/golden-fluid-acrylics/,https://images.ctfassets.net/f1fikihmjtrp/7hHelOKYq0ROST0ELlXAXo/559f36ab3c8c89803ef0608cc9c79e32/00638-group-P-3ww-l.jpg?q=80&w=190&h=190,100+ Options,Golden Fluid Acrylic Paint and Sets,Item #: 00638,$5.94 - $152.73,SAVE 30% off List!,4.9 out of 5 stars,[object Object],-1216,number of reviews,"Golden Fluid Acrylics are highly intense, permanent acrylics with a consistency close to heavy cream. Produced from lightfast pigments, they offer str...",#NAME?,Choose Options,https://www.dickblick.com/products/golden-fluid-acrylics/,
https://www.dickblick.com/products/liquitex-professional-heavy-body-acrylics/,https://images.ctfassets.net/f1fikihmjtrp/3WAvqgXKv0vBl4tsMLmRpm/4a40e356bdd64294e261fe1756528b1a/00617-group-3-4ww.jpg?q=80&w=190&h=190,100+ Options,Liquitex Professional Heavy Body Acrylic Paints and Sets,Item #: 00617,$8.99 - $153.99,SAVE up to 48% off List!,4.8 out of 5 stars,[object Object],-934,number of reviews,"Liquitex Professional Heavy Body Acrylics are made to have an exceptionally smooth, thick, buttery consistency. A high pigment load produces rich, bri...",#NAME?,Choose Options,https://www.dickblick.com/products/liquitex-professional-heavy-body-acrylics/,
https://www.dickblick.com/products/liquitex-basics-acrylic-colors/,https://images.ctfassets.net/f1fikihmjtrp/1KXzzQwd1tURjPgWdimkJZ/d097a736835f450c9d2c953719c13247/00717-0129-4-4ww.jpg?q=80&w=190&h=190,100+ Options,Liquitex Basics Acrylic Paints and Sets,Item #: 00717,$4.19 - $81.89,SAVE 20-66% off List!,4.8 out of 5 stars,[object Object],-828,number of reviews,"For watercolor, airbrush, and printmaking. Apply on canvas, wood, clay, paper, fabric. Mix with water or Liquitex acrylic mediums. Dries water-resista...",#NAME?,Choose Options,https://www.dickblick.com/products/liquitex-basics-acrylic-colors/,
https://www.dickblick.com/products/blick-studio-acrylics/,https://images.ctfassets.net/f1fikihmjtrp/3F6JSBsmX8RYTtXcWzSYq5/db66575b9daf66bb35778342f6ecc8a5/01637-group-14-4ww.jpg?q=80&w=190&h=190,100+ Options,Blick Studio Acrylic Paints and Sets,Item #: 01637,$4.24 - $58.80,SAVE 38-74% off List!,4.7 out of 5 stars,[object Object],-1128,number of reviews,"Blick Studio Acrylic Colors are a great value for students and beginning artists. Rich, thick  textures holds impasto brush and palette marks. High pi...",#NAME?,Choose Options,https://www.dickblick.com/products/blick-studio-acrylics/,
https://www.dickblick.com/products/amsterdam-standard-series-acrylics/,https://images.ctfassets.net/f1fikihmjtrp/6Xb5BP6LBTE44YyUK4t1Qj/d230cea8374baec9577701104c014568/00643-4553-M-4ww.jpg?q=80&w=190&h=190,100+ Options,Amsterdam Standard Series Acrylic Paints and Sets,Item #: 00643,$3.42 - $162.22,SAVE up to 49% off List!,4.8 out of 5 stars,[object Object],-487,number of reviews,"Proudly crafted in the Netherlands, these acrylic paints are value priced and easy to use, making them an excellent choice for the beginning or interm...",#NAME?,Choose Options,https://www.dickblick.com/products/amsterdam-standard-series-acrylics/,
https://www.dickblick.com/products/golden-open-acrylics/,https://images.ctfassets.net/f1fikihmjtrp/goMBVRCCdt2vhHkAc8lPI/016ec0b77104f529568bb410002bae61/01618-group-M-4ww.jpg?q=80&w=190&h=190,100+ Options,Golden Open Acrylic Paints and Sets,Item #: 01618,$9.09 - $62.99,SAVE 30% off List!,4.7 out of 5 stars,[object Object],-513,number of reviews,"Golden Open Acrylics offer an escape from the studio, allowing acrylic artists to experience the warm sun and fresh spring breeze of plein air paintin...",#NAME?,Choose Options,https://www.dickblick.com/products/golden-open-acrylics/,
https://www.dickblick.com/products/utrecht-artists-acrylic-colors/,https://images.ctfassets.net/f1fikihmjtrp/6eZsySH7UX8Xf2u9rHl5JL/fb944e76729fda27b99aac5d50c99def/01654-Group-main-1-4ww.jpg?q=80&w=190&h=190,100+ Options,Utrecht Artists' Acrylic Paint and Sets,Item #: 01654,$8.09 - $150.31,SAVE 20-59% off List!,4.7 out of 5 stars,[object Object],-350,number of reviews,"Utrecht has been carefully handcrafting Utrecht Artists' Acrylic Colors in its Brooklyn, New York, mill since 1959. These fine paints are prized by pr...",#NAME?,Choose Options,https://www.dickblick.com/products/utrecht-artists-acrylic-colors/,
https://www.dickblick.com/products/holbein-acrylic-gouache/,https://images.ctfassets.net/f1fikihmjtrp/6fNYWGNTJxbsxYa7LmD59W/1f452b6b2c1bfd2ad9ddb4c0ea3b2846/00811-1029-1-4ww.jpg?q=80&w=190&h=190,100+ Options,Holbein Acrylic Gouache and Sets,Item #: 00811,$6.76 - $224.25,SAVE 35% off List!,4.8 out of 5 stars,[object Object],-345,number of reviews,"Holbein Acrylic Gouache is a fast-drying, opaque acrylic based watercolor paint. It's water soluble while wet, and water-resistant, matte and opaque, ...",#NAME?,Choose Options,https://www.dickblick.com/products/holbein-acrylic-gouache/,
